1,1,6,273,1665
1,0,1,273,1178
1,0,62,273,1312
1,0,64,273,2473
1,0,72,273,551
1,0,54,273,482
1,0,73,273,549
1,1,66,274,2941
1,1,117,274,392
1,1,90,274,847
1,1,11,274,698
1,1,95,274,573
1,0,70,273,567
1,0,115,273,581
1,1,58,274,1360
1,0,126,273,1013
1,1,27,274,616
1,0,77,273,787
1,0,20,273,669
1,0,91,273,937
1,1,30,274,714
1,1,87,274,963
1,1,56,274,1514
1,0,86,273,1119
1,0,35,273,1330
1,1,85,274,552
1,0,60,273,648
1,0,96,273,1071
1,1,89,274,1345
1,1,110,274,563
1,1,61,274,835
1,0,9,273,1242
1,0,121,273,559
1,0,36,273,643
1,0,46,273,555
1,1,134,274,577
1,1,79,274,464
1,0,130,273,462
1,0,71,273,2492
1,1,107,274,913
1,0,3,273,1075
1,1,122,274,1198
1,1,10,274,4121
1,0,124,273,1015
1,0,135,273,847
1,0,53,273,1336
1,0,103,273,985
1,0,50,273,673
1,1,48,274,1064
1,1,127,274,1802
1,0,16,273,755
1,0,28,273,1069
1,1,105,274,930
1,1,104,274,850
1,1,84,274,434
1,0,26,273,568
1,0,4,273,568
1,1,59,274,509
1,1,82,274,720
1,1,112,274,458
1,0,123,273,682
1,1,116,274,717
1,1,29,274,2458
1,1,63,274,552
1,0,97,273,730
1,1,55,274,481
1,1,93,274,1489
1,1,15,274,540
1,0,40,273,592
1,0,23,273,815
1,0,129,273,513
1,0,80,273,898
1,0,43,273,510
1,0,83,273,913
1,0,41,273,650
1,1,21,274,876
1,1,67,274,953
1,0,118,273,933
1,1,113,274,408
1,1,133,274,483
1,0,2,273,471
1,1,125,274,613
1,1,128,274,727
1,0,52,273,884
1,0,65,273,1380
1,0,92,273,668
1,0,98,273,604
1,1,45,274,748
1,0,39,273,548
1,1,69,274,610
1,0,7,273,852
1,1,34,274,502
1,1,17,274,904
1,1,120,274,679
1,1,57,274,649
1,0,78,273,923
1,1,88,274,889
1,0,109,273,1327
1,1,132,274,1422
1,1,24,274,570
1,1,14,274,866
1,0,38,273,599
1,1,76,274,743
1,0,18,273,2321
1,0,33,273,1129
1,1,131,274,778
1,0,106,273,581
1,1,8,274,1311
1,0,101,273,490
1,1,0,274,557
1,0,94,273,899
1,0,108,273,807
1,0,68,273,1250
1,1,75,273,620
1,0,111,273,771
1,1,99,274,1355
1,0,12,273,553
1,1,102,274,720
1,0,19,273,630
1,0,25,273,1230
1,1,42,274,787
1,1,47,274,887
1,0,119,273,1584
1,1,81,274,580
1,1,44,274,701
1,0,13,273,762
1,1,32,274,1507
1,1,31,274,839
1,0,22,273,912
1,0,100,273,2539
1,1,74,274,735
1,0,51,273,1633
1,0,49,273,704
1,0,5,273,649
1,0,37,273,1109
1,0,114,273,767
2,1,48,273,459
2,1,115,273,1557
2,0,29,274,641
2,0,54,274,809
2,1,127,273,920
2,0,99,274,924
2,1,132,273,789
2,0,57,274,444
2,0,35,273,521
2,0,129,273,563
2,1,69,273,905
2,1,68,274,754
2,1,72,274,1442
2,1,97,273,431
2,1,62,273,699
2,1,41,273,585
2,0,59,274,639
2,0,73,274,840
2,0,105,274,783
2,0,85,274,862
2,0,30,274,657
2,1,82,273,761
2,1,87,273,615
2,1,123,273,974
2,0,71,274,777
2,0,104,274,1037
2,1,47,273,926
2,1,15,273,504
2,0,96,274,982
2,0,83,274,702
2,0,121,274,764
2,0,10,274,892
2,0,8,274,1327
2,1,135,273,1063
2,0,1,274,737
2,0,134,274,1283
2,1,76,273,1321
2,0,9,274,860
2,1,91,273,2394
2,0,78,274,1081
2,1,23,273,3599
2,0,21,274,3781
2,1,34,273,814
2,1,89,273,1869
2,0,66,274,4675
2,1,7,273,981
2,0,32,274,1232
2,0,77,274,1122
2,1,58,273,842
2,1,26,273,722
2,1,39,273,704
2,1,79,273,852
2,0,88,274,3544
2,0,11,274,8220
2,0,84,274,530
2,1,6,273,518
2,0,113,274,748
2,0,116,274,750
2,1,27,273,512
2,0,106,274,892
2,1,126,273,366
2,0,44,274,1089
2,0,103,274,3362
2,1,124,273,8563
2,1,102,273,1026
2,1,81,273,12325
2,0,28,274,9377
2,0,70,274,961
2,0,101,274,8400
2,0,52,274,1252
2,1,2,273,648
2,1,0,273,538
2,1,24,273,669
2,1,92,273,1100
2,0,49,274,697
2,0,133,274,12147
2,1,125,273,2072
2,0,60,274,13640
2,1,46,273,9168
2,1,16,273,2328
2,1,95,273,541
2,0,93,273,21509
2,0,56,274,1654
2,0,65,274,1150
2,0,107,274,1331
2,1,67,273,4256
2,1,20,273,813
2,1,33,273,1123
2,1,14,273,943
